Task_ID,Task_Description,Created_Date,Deadline,Est. Hours,Category,Priority,Class,Assigned_To
74,Before class determine positive but of.,2025-01-12,2025-01-13,5.66,Feature,High,Admin,U04
75,Difference different left here series shoulder.,2025-02-07,2025-02-10,7.44,Bug,Medium,Technical,U06
76,Always create agency you.,2025-02-08,2025-02-10,4.53,Bug,Low,Technical,U03
77,Magazine popular particular free.,2025-04-11,2025-04-15,1.6,Improvement,High,Support,U02
78,Life down cup local.,2025-02-16,2025-02-26,9.92,Bug,Medium,Support,U07
79,Ago direction yard citizen.,2025-02-17,2025-02-27,7.07,Improvement,Medium,Research,U08
80,Outside skin design star even school.,2025-04-10,2025-04-16,2.24,Improvement,Low,Technical,U06
81,Ability no over after red just message.,2025-02-10,2025-02-14,1.04,Bug,Low,Support,U06
82,Four get official campaign pay writer.,2025-04-17,2025-04-23,3.75,Bug,Low,Research,U06
83,Learn all year feel government official operation.,2025-02-28,2025-03-07,5.39,Bug,Low,Technical,U09
84,Coach thing most since full very fast prevent.,2025-02-26,2025-03-05,4.6,Improvement,Low,Admin,U04
85,Work stuff ball prevent despite.,2025-03-11,2025-03-18,3.03,Bug,High,Admin,U01
86,Lead moment performance shake structure religious.,2025-04-14,2025-04-21,3.3,Improvement,Low,Technical,U02
87,View couple candidate leader who ability value.,2025-02-09,2025-02-11,5.09,Feature,High,Research,U02
88,Arm budget respond example identify whom child.,2025-04-13,2025-04-21,7.33,Bug,Low,Research,U08
89,Two turn force article.,2025-03-13,2025-03-22,8.66,Feature,Low,Research,U02
90,Shake expect most last season best.,2025-01-04,2025-01-11,3.39,Improvement,Low,Research,U05
91,Alone many if address around everything.,2025-04-12,2025-04-19,8.0,Bug,High,Admin,U01
92,Home look ever relationship.,2025-04-25,2025-04-26,9.62,Feature,Medium,Research,U07
93,Treatment know century gun administration medical nation.,2025-03-08,2025-03-18,9.13,Bug,High,Research,U07
94,Eight child hot should in.,2025-02-09,2025-02-14,9.61,Improvement,Medium,Technical,U04
95,Election opportunity want fact very experience.,2025-04-11,2025-04-14,2.59,Bug,Low,Support,U02
96,Evidence other trial bit reality under.,2025-04-30,2025-05-09,6.21,Bug,Low,Research,U06
97,Walk pay marriage reach true hand group.,2025-03-14,2025-03-22,1.47,Feature,Low,Admin,U03
98,Eight throw attack PM price three song.,2025-04-02,2025-04-12,1.12,Feature,Medium,Technical,U06
99,Reflect several action own.,2025-01-29,2025-01-31,3.67,Feature,High,Support,U04
100,Growth yourself want think employee return ready positive.,2025-02-08,2025-02-09,3.36,Feature,Medium,Research,U01
101,Nor American clear main.,2025-04-22,2025-04-23,7.45,Improvement,Low,Support,U09
102,But turn seven sea entire radio section last.,2025-03-16,2025-03-19,8.53,Bug,Low,Admin,U09
103,Listen sure live point force pressure result edge.,2025-02-08,2025-02-11,8.22,Improvement,Low,Research,U05
104,Civil network share service best.,2025-02-06,2025-02-07,2.11,Feature,Medium,Technical,U04
105,Smile kid data television event offer way person.,2025-02-10,2025-02-19,1.22,Feature,Low,Research,U02
106,Physical pressure magazine research break prepare now money.,2025-03-27,2025-04-05,7.19,Bug,Medium,Research,U01
107,Something hundred physical himself new.,2025-01-31,2025-02-06,6.91,Bug,Medium,Admin,U03
108,Lead effort play participant picture fire accept least.,2025-01-01,2025-01-05,1.95,Bug,Low,Support,U08
109,Specific open audience light west.,2025-05-10,2025-05-16,8.11,Feature,Medium,Admin,U04
110,Necessary key pattern there court wife.,2025-02-11,2025-02-12,4.01,Bug,Low,Research,U05
111,Perhaps model according who rich security against.,2025-01-08,2025-01-17,2.58,Bug,High,Technical,U07
112,Describe pay first skin choose five know.,2025-05-08,2025-05-16,8.26,Feature,Medium,Technical,U02
113,Power attack produce seat help write understand.,2025-05-03,2025-05-13,5.1,Feature,Medium,Support,U03
114,Chair source administration imagine top.,2025-04-20,2025-04-27,7.49,Feature,High,Research,U03
115,Seat end I stage important air.,2025-04-13,2025-04-16,7.11,Feature,High,Technical,U07
116,Brother gun force bed stock.,2025-04-08,2025-04-16,8.89,Bug,Low,Admin,U01
117,Call father growth store true question.,2025-04-05,2025-04-12,9.17,Improvement,Low,Research,U04
118,Wife themselves trouble real evidence get science wall.,2025-04-16,2025-04-25,5.9,Bug,High,Research,U03
119,Adult low staff name.,2025-04-21,2025-04-30,7.7,Bug,Medium,Technical,U02
120,Of then though sea production.,2025-01-14,2025-01-19,9.05,Feature,High,Support,U09
121,Money picture model tonight knowledge.,2025-02-07,2025-02-09,6.0,Feature,High,Technical,U01
122,Provide region work individual report kid hour.,2025-04-16,2025-04-18,9.8,Feature,Low,Support,U06
123,Environmental answer situation involve situation seat.,2025-03-28,2025-04-07,9.17,Improvement,Medium,Technical,U01
124,Indeed board institution pass north year.,2025-04-01,2025-04-08,1.2,Feature,High,Research,U03
125,Body staff table another bit next.,2025-01-21,2025-01-25,7.65,Feature,Low,Technical,U10
126,That throughout stop morning force walk.,2025-04-16,2025-04-22,6.26,Bug,Medium,Support,U04
127,Drop especially might out.,2025-01-03,2025-01-11,1.4,Improvement,Medium,Admin,U10
128,Next that nothing specific pattern.,2025-01-02,2025-01-05,9.78,Feature,Medium,Technical,U05
129,Surface into simple of control into.,2025-02-10,2025-02-19,6.19,Feature,Low,Admin,U05
130,Be western future write by.,2025-04-04,2025-04-11,3.23,Improvement,High,Technical,U02
131,Vote purpose determine parent.,2025-04-27,2025-04-29,7.33,Improvement,Low,Research,U01
132,Modern she everybody wind this man.,2025-04-25,2025-04-29,6.14,Feature,Low,Admin,U08
133,International serve player pass plan from imagine almost.,2025-01-03,2025-01-12,6.08,Improvement,High,Admin,U03
134,Difficult health remember.,2025-04-03,2025-04-09,4.26,Feature,Medium,Research,U03
135,Exactly determine dream base how who once dinner.,2025-01-01,2025-01-04,7.31,Bug,Low,Research,U06
136,Force no interesting.,2025-05-03,2025-05-07,1.89,Feature,Low,Admin,U02
137,Whole view herself similar whose night.,2025-03-21,2025-03-30,4.43,Bug,High,Technical,U04
138,Chair seven them government try his.,2025-02-25,2025-03-05,7.17,Improvement,High,Support,U06
139,Car style worker far.,2025-03-10,2025-03-19,9.8,Improvement,Medium,Technical,U01
140,Between material build stage.,2025-03-17,2025-03-24,4.58,Improvement,Medium,Support,U02
141,Rate leg small bad.,2025-04-03,2025-04-08,7.94,Bug,Medium,Technical,U01
142,Clear rate life risk.,2025-04-30,2025-05-04,7.75,Feature,Medium,Research,U03
143,Everyone own happy threat land.,2025-02-28,2025-03-01,3.47,Bug,Medium,Admin,U08
144,Head stuff account end kid knowledge.,2025-03-13,2025-03-20,6.93,Improvement,Medium,Research,U06
145,Statement paper none media sound sister.,2025-04-09,2025-04-12,9.63,Feature,Low,Technical,U04
146,Represent night memory.,2025-03-15,2025-03-18,6.37,Feature,High,Admin,U03
147,Media president loss.,2025-02-08,2025-02-13,1.8,Improvement,High,Technical,U03
148,Amount health real her exactly read whatever.,2025-02-22,2025-02-23,5.93,Feature,Medium,Admin,U09
149,Surface hour care activity at him coach.,2025-02-08,2025-02-15,4.08,Feature,Medium,Support,U10
150,Wife magazine officer million.,2025-04-25,2025-05-02,8.25,Feature,High,Support,U04
151,New crime region agent.,2025-03-19,2025-03-21,9.61,Feature,High,Technical,U05
152,Finish economic near almost upon.,2025-03-09,2025-03-13,4.89,Improvement,High,Admin,U10
153,Sell long decision short.,2025-05-06,2025-05-08,2.69,Bug,Medium,Support,U05
154,Interview sometimes same catch.,2025-03-16,2025-03-25,9.22,Feature,Medium,Support,U08
155,Offer chance find.,2025-03-22,2025-03-26,6.09,Bug,Low,Technical,U06
156,Sister take five industry this you.,2025-04-01,2025-04-10,9.89,Bug,Low,Support,U06
157,Father start interest feeling style.,2025-02-04,2025-02-06,5.81,Improvement,Low,Technical,U07
158,Finally follow future others.,2025-04-27,2025-05-04,5.44,Improvement,Low,Support,U04
159,Simply save along investment.,2025-01-29,2025-02-07,6.37,Feature,Low,Technical,U10
160,Help natural enjoy charge.,2025-01-28,2025-01-31,4.63,Feature,High,Technical,U10
161,Buy war read moment always commercial statement.,2025-04-19,2025-04-28,3.32,Feature,Low,Research,U10
162,House surface economy cost charge business.,2025-01-02,2025-01-11,7.78,Feature,High,Technical,U03
163,Approach Democrat understand attention sometimes you.,2025-04-16,2025-04-20,5.2,Bug,Low,Admin,U10
164,Ask day cultural accept true.,2025-04-01,2025-04-11,3.14,Feature,High,Support,U06
165,Could almost answer have.,2025-01-12,2025-01-22,4.89,Bug,High,Research,U05
166,Mention yet house west.,2025-04-16,2025-04-23,4.95,Feature,Low,Technical,U03
167,Produce other wall but job final.,2025-02-19,2025-02-24,2.32,Feature,Low,Research,U03
168,Interview short service top value wait.,2025-01-16,2025-01-23,1.19,Bug,Medium,Admin,U04
169,Energy unit appear today.,2025-03-18,2025-03-20,5.23,Feature,Medium,Admin,U05
170,Hotel miss health serve participant improve her.,2025-01-21,2025-01-29,6.33,Improvement,High,Research,U01
171,Real some later thank.,2025-02-19,2025-02-23,2.38,Feature,Low,Technical,U07
172,Ok true occur foot.,2025-01-29,2025-01-30,7.72,Feature,High,Admin,U01
173,Develop cost lose five student activity debate top.,2025-03-10,2025-03-15,7.68,Feature,Medium,Technical,U01
174,Make consumer cover.,2025-02-21,2025-02-27,7.15,Bug,Low,Support,U02
175,Public reason reflect dark message.,2025-04-03,2025-04-12,1.97,Feature,Low,Support,U07
176,Yard remember in event entire school movie.,2025-02-17,2025-02-22,1.08,Bug,Low,Admin,U06
177,Season begin reflect religious threat author.,2025-04-16,2025-04-25,8.62,Improvement,High,Technical,U04
178,Produce space yourself yes former.,2025-04-09,2025-04-14,7.85,Bug,High,Admin,U02
179,Perhaps share it clear article speak address.,2025-01-15,2025-01-25,7.43,Improvement,Medium,Support,U10
180,Activity already process bill agreement trouble effort.,2025-02-04,2025-02-12,6.08,Feature,Low,Technical,U03
181,So recognize religious reality often moment professional.,2025-05-06,2025-05-12,7.26,Feature,Medium,Admin,U07
182,Culture Republican what.,2025-03-07,2025-03-11,5.5,Bug,Low,Admin,U09
183,Central involve it magazine law along hold.,2025-02-10,2025-02-20,7.33,Bug,Low,Support,U01
184,Father discuss strong policy late sense.,2025-01-20,2025-01-23,5.27,Bug,Low,Technical,U05
185,Down law them heavy school happy relate.,2025-04-18,2025-04-26,8.33,Feature,High,Research,U06
186,Consider always collection technology bed another.,2025-01-11,2025-01-17,4.48,Improvement,High,Research,U07
187,Medical research two others.,2025-05-03,2025-05-10,4.68,Feature,Low,Technical,U09
188,State maintain director force station bed Republican.,2025-01-08,2025-01-10,4.39,Improvement,Medium,Research,U05
189,Executive region thought social business his.,2025-02-04,2025-02-05,4.33,Feature,High,Admin,U04
190,Act in shake stock close board eight.,2025-02-07,2025-02-13,2.7,Bug,Low,Support,U09
191,Morning call product every.,2025-02-27,2025-03-08,9.12,Bug,High,Technical,U01
192,Decision cultural trade police Mr.,2025-02-24,2025-02-28,2.24,Feature,Low,Technical,U10
193,Minute whatever father international something executive ok south.,2025-02-16,2025-02-23,4.83,Feature,Medium,Admin,U08
194,Seek in degree goal physical few PM.,2025-04-20,2025-04-26,2.07,Bug,High,Technical,U08
195,Read hair pressure drop.,2025-03-23,2025-03-31,2.4,Feature,Low,Technical,U08
196,Citizen particularly leg within.,2025-02-27,2025-03-01,5.68,Feature,Medium,Support,U01
197,Young hand make tend.,2025-03-02,2025-03-08,1.96,Bug,Medium,Research,U09
198,Less as agent shoulder remember type.,2025-01-21,2025-01-24,2.71,Bug,Low,Technical,U04
199,Stage election toward west fall raise long.,2025-01-25,2025-02-01,3.67,Bug,High,Support,U02
200,Specific hotel figure body woman window specific.,2025-03-15,2025-03-17,1.61,Bug,High,Support,U08
201,Power light democratic seek down daughter drop.,2025-02-12,2025-02-20,6.87,Bug,Low,Research,U10
202,Ability answer so training campaign lay.,2025-02-14,2025-02-17,6.84,Bug,Low,Research,U03
203,Program minute account theory far line capital.,2025-01-20,2025-01-29,6.89,Improvement,High,Admin,U04
204,And standard under say skill central class.,2025-03-02,2025-03-04,4.89,Bug,Medium,Support,U04
205,Where happen home traditional behavior.,2025-02-02,2025-02-09,2.01,Feature,Low,Support,U09
206,Though Congress peace bar.,2025-05-10,2025-05-19,6.45,Bug,Medium,Support,U03
207,Understand public occur down answer.,2025-01-14,2025-01-15,9.66,Feature,Low,Support,U02
208,Continue technology owner author subject.,2025-03-31,2025-04-08,7.01,Bug,Low,Research,U10
209,Film debate line employee behind arrive coach.,2025-02-26,2025-03-08,5.19,Bug,Medium,Technical,U06
210,Clear table different structure two follow easy.,2025-01-28,2025-02-06,7.8,Feature,Low,Admin,U05
211,Area fly help from poor finish.,2025-05-03,2025-05-13,2.46,Feature,Medium,Research,U10
212,Certain read speak knowledge while.,2025-03-06,2025-03-08,7.24,Improvement,Medium,Technical,U05
213,Nor discover talk something nothing.,2025-05-08,2025-05-15,6.27,Improvement,High,Technical,U09
214,Reveal person away represent turn director.,2025-03-16,2025-03-19,5.44,Feature,Low,Admin,U02
215,Be official direction nice.,2025-04-26,2025-04-30,4.21,Bug,Low,Research,U03
216,Painting news natural prove provide.,2025-04-04,2025-04-11,8.17,Improvement,Medium,Research,U01
217,East then work there citizen.,2025-03-12,2025-03-15,6.49,Feature,High,Admin,U01
218,Among including I focus.,2025-02-07,2025-02-12,7.11,Bug,Low,Research,U01
219,Citizen mother would clear natural.,2025-04-28,2025-05-03,8.78,Improvement,High,Admin,U05
220,Audience born a suggest book partner.,2025-01-24,2025-02-01,9.97,Bug,Medium,Research,U06
221,Add cost section court music.,2025-05-05,2025-05-06,8.54,Improvement,Low,Support,U08
222,Computer note certain whom because physical response.,2025-04-14,2025-04-24,1.95,Improvement,Low,Support,U05
223,Move ahead program evening college husband country know.,2025-04-20,2025-04-29,9.17,Bug,Medium,Support,U06
224,Week prevent note dog continue east candidate detail.,2025-05-13,2025-05-18,3.36,Feature,High,Research,U02
225,Present later the.,2025-03-20,2025-03-21,2.73,Improvement,Low,Admin,U07
226,Perform care year return.,2025-04-21,2025-04-29,9.59,Improvement,High,Support,U01
227,Nothing story practice.,2025-03-18,2025-03-27,5.03,Improvement,Medium,Research,U08
228,Voice police memory scientist save time difficult.,2025-03-30,2025-04-09,9.66,Feature,Medium,Technical,U05
229,Store really recent need act heavy wish.,2025-03-17,2025-03-25,9.19,Feature,Medium,Research,U02
230,Music begin sister soon accept.,2025-02-06,2025-02-15,9.14,Improvement,Low,Technical,U01
231,Run impact play visit hospital.,2025-02-09,2025-02-16,8.41,Improvement,Low,Admin,U09
232,Single when field same development future deep financial.,2025-01-30,2025-01-31,6.64,Improvement,High,Support,U05
233,Week executive politics finish.,2025-03-20,2025-03-25,3.84,Bug,Medium,Support,U03
234,Catch shake ten whole.,2025-04-26,2025-05-03,4.76,Improvement,Low,Technical,U09
235,Purpose name wife seem.,2025-03-27,2025-03-29,4.3,Bug,High,Research,U07
236,Spend phone feel talk.,2025-02-15,2025-02-20,6.48,Bug,Medium,Technical,U04
237,Expect another receive talk major.,2025-04-18,2025-04-24,8.17,Feature,Low,Technical,U03
238,Everyone technology manager rich song sport southern ability.,2025-03-29,2025-03-30,9.38,Feature,Medium,Research,U03
239,Contain spring edge nice.,2025-02-03,2025-02-04,8.02,Feature,High,Admin,U03
240,Entire air discussion.,2025-03-02,2025-03-04,3.95,Feature,Low,Technical,U02
241,Wait treatment house current heavy program.,2025-01-31,2025-02-09,4.3,Bug,Medium,Support,U01
242,Newspaper our improve try.,2025-02-27,2025-03-06,2.52,Bug,Low,Admin,U04
243,Social hand beautiful left soon leg.,2025-01-27,2025-02-01,3.62,Improvement,Low,Technical,U01
244,Quality continue century career several.,2025-04-08,2025-04-15,1.81,Bug,Medium,Support,U07
245,Animal cover avoid current word enough issue responsibility.,2025-01-03,2025-01-10,1.32,Bug,Low,Technical,U05
246,Option research less.,2025-02-20,2025-02-27,5.14,Improvement,Medium,Research,U06
247,Central with choice.,2025-04-27,2025-04-28,5.01,Improvement,High,Admin,U05
248,Carry above million reality car option science.,2025-02-24,2025-03-06,3.46,Improvement,Low,Research,U09
249,Interview painting political.,2025-01-24,2025-01-30,6.36,Improvement,Low,Research,U01
250,Institution baby society almost party off.,2025-03-13,2025-03-22,1.16,Bug,Medium,Technical,U05
251,Indeed hair such let face two term anyone.,2025-02-15,2025-02-18,6.6,Feature,Low,Support,U06
252,Visit bar give none.,2025-03-22,2025-03-28,5.31,Feature,Low,Technical,U01
253,Agency start home trouble rise over race.,2025-05-12,2025-05-16,4.45,Improvement,High,Admin,U06
254,Choice sure large fine live certain.,2025-02-11,2025-02-12,8.68,Bug,Low,Admin,U01
255,Early participant star.,2025-01-06,2025-01-11,7.91,Feature,Low,Support,U09
256,Read ball federal will particular economic.,2025-03-04,2025-03-09,7.03,Feature,Medium,Support,U05
257,Brother trip compare account product be.,2025-04-28,2025-05-05,1.23,Bug,High,Research,U06
258,Middle citizen senior push tax media large.,2025-02-19,2025-02-27,6.65,Bug,Low,Admin,U08
259,Rest relationship cold exactly.,2025-04-03,2025-04-13,3.5,Improvement,Low,Admin,U06
260,Early color my.,2025-04-02,2025-04-10,6.67,Improvement,Low,Research,U09
261,Prevent not hair style approach across note hard.,2025-02-02,2025-02-10,5.44,Improvement,Medium,Support,U10
262,Cause impact game guess.,2025-04-02,2025-04-07,9.8,Improvement,Medium,Technical,U05
263,Level site especially nature environment.,2025-02-23,2025-02-28,5.1,Improvement,Medium,Research,U09
264,Individual how real account safe.,2025-04-26,2025-05-01,3.13,Bug,High,Support,U06
265,Organization on scene step natural first sure tonight.,2025-04-09,2025-04-10,4.18,Bug,High,Admin,U05
266,Someone certainly through vote.,2025-03-05,2025-03-15,4.0,Feature,High,Support,U03
267,Seven image star sign bar alone everybody read.,2025-05-02,2025-05-07,2.19,Feature,Medium,Research,U03
268,Step drop voice.,2025-01-12,2025-01-15,5.45,Feature,Low,Technical,U07
269,Past call participant wife must person.,2025-01-23,2025-01-25,7.01,Improvement,Low,Support,U08
270,Decide station them remain none.,2025-04-06,2025-04-08,8.99,Bug,Medium,Support,U07
271,Home hear son year.,2025-03-08,2025-03-12,2.75,Feature,Medium,Research,U07
272,Issue investment forward nor stop board.,2025-04-11,2025-04-16,9.17,Bug,Low,Research,U08
273,Speech a common detail throw season these study.,2025-03-13,2025-03-19,3.23,Bug,High,Research,U08
274,Event section speech.,2025-04-26,2025-05-03,5.2,Bug,Medium,Technical,U06
275,Fall wife later mission scientist.,2025-02-01,2025-02-03,5.52,Improvement,Medium,Technical,U01
276,Artist somebody major major.,2025-04-15,2025-04-25,5.55,Bug,High,Technical,U05
277,Trade bill sign.,2025-04-17,2025-04-27,4.37,Feature,High,Support,U04
278,Couple example but stop happen fight old.,2025-03-28,2025-04-03,6.02,Improvement,High,Technical,U02
279,On writer whom consider fill within.,2025-01-05,2025-01-06,7.42,Improvement,High,Technical,U06
280,World teach author character me role ready.,2025-04-25,2025-04-27,2.61,Improvement,Medium,Research,U10
281,Speech already alone both if hotel yeah.,2025-03-06,2025-03-10,1.1,Bug,High,Admin,U10
282,Appear impact character training political.,2025-01-04,2025-01-06,6.23,Feature,Low,Research,U04
283,Remain history exist and.,2025-05-13,2025-05-17,8.86,Improvement,Medium,Support,U02
284,Lead season character modern else test hour.,2025-05-12,2025-05-19,7.9,Bug,High,Technical,U09
285,However must pass laugh remain either.,2025-04-10,2025-04-13,5.08,Bug,Medium,Admin,U04
286,Future ground financial occur my.,2025-03-14,2025-03-15,2.25,Improvement,High,Support,U03
287,Stuff character Congress hold decade involve kind.,2025-04-02,2025-04-10,5.99,Improvement,Low,Admin,U02
288,Agent as foot despite read company.,2025-03-14,2025-03-23,7.93,Feature,High,Admin,U04
289,Newspaper national who work its necessary war.,2025-03-18,2025-03-25,1.34,Feature,High,Admin,U04
290,Minute administration president tonight.,2025-01-14,2025-01-21,5.56,Feature,Low,Admin,U02
291,Somebody fill room indicate by.,2025-04-23,2025-05-03,9.42,Bug,Medium,Admin,U03
292,Name reveal about employee.,2025-01-16,2025-01-18,4.29,Feature,Low,Support,U07
293,Country store each natural interesting.,2025-01-28,2025-01-31,6.51,Bug,High,Technical,U05
294,Floor sort fact remember chance painting political.,2025-02-13,2025-02-20,1.11,Feature,Low,Research,U04
295,Kitchen fear modern movement.,2025-03-06,2025-03-11,4.19,Improvement,Low,Research,U03
296,Career amount mouth design money my west.,2025-04-17,2025-04-18,4.48,Feature,High,Technical,U05
297,Whether firm owner throughout.,2025-03-15,2025-03-22,4.73,Bug,Medium,Support,U08
298,Sport left school expect either.,2025-01-30,2025-02-02,8.22,Bug,Medium,Admin,U01
299,Why gun central.,2025-02-22,2025-02-25,5.61,Improvement,Medium,Support,U04
300,Care offer couple may thousand now.,2025-01-07,2025-01-12,5.77,Improvement,Low,Admin,U02
301,Social specific turn win drug.,2025-04-29,2025-05-02,4.8,Improvement,High,Technical,U01
302,Identify film skill these partner building.,2025-03-03,2025-03-11,3.54,Feature,High,Technical,U09
